112	2013	 Fabricación de plásticos en formas primarias 	 0.550	1
113	2014	 Fabricación de caucho sintético en formas primarias 	 0.550	1
114	2021	 Fabricación de plaguicidas y otros productos químicos de uso agropecuario 	 0.550	1
115	2022	 Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas 	 0.550	1
116	2023	" Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador "	 0.550	1
117	2029	 Fabricación de otros productos químicos n.c.p. 	 0.550	1
118	2030	 Fabricación de fibras sintéticas y artificiales 	 0.550	1
119	2100	 Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico 	 0.550	1
120	2211	 Fabricación de llantas y neumáticos de caucho 	 0.550	1
121	2212	 Reencauche de llantas usadas 	 0.550	1
122	2219	 Fabricación de formas básicas de caucho y otros productos de caucho n.c.p. 	 0.550	1
123	2221	 Fabricación de formas básicas de plástico 	 0.550	1
124	2229	 Fabricación de artículos de plástico n.c.p. 	 0.550	1
125	2310	 Fabricación de vidrio y productos de vidrio 	 0.550	1
126	2391	 Fabricación de productos refractarios 	 0.550	1
127	2392	 Fabricación de materiales de arcilla para la construcción 	 0.550	1
128	2393	 Fabricación de otros productos de cerámica y porcelana 	 0.550	1
129	2394	 Fabricación de cemento, cal y yeso 	 0.550	1
130	2395	 Fabricación de artículos de hormigón, cemento y yeso 	 0.550	1
131	2396	 Corte, tallado y acabado de la piedra 	 0.550	1
132	2399	 Fabricación de otros productos minerales no metálicos n.c.p. 	 0.550	1
133	2410	 Industrias básicas de hierro y de acero 	 0.550	1
134	2421	 Industrias básicas de metales preciosos 	 0.550	1
135	2429	 Industrias básicas de otros metales no ferrosos 	 0.550	1
136	2431	 Fundición de hierro y de acero 	 0.550	1
137	2432	 Fundición de metales no ferrosos 	 0.550	1
138	2511	 Fabricación de productos metálicos para uso estructural 	 0.550	1
139	2512	 Fabricación de tanques, depósitos y recipientes de metal, excepto los utilizados para el envase o el transporte de mercancías 	 0.550	1
140	2513	 Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central 	 0.550	1
141	2520	 Fabricación de armas y municiones 	 0.550	1
142	2591	" Forja, prensado, estampado y laminado de metal; pulvimetalurgia "	 0.550	1
143	2592	" Tratamiento y revestimiento de metales; mecanizado "	 0.550	1
144	2593	 Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería 	 0.550	1
145	2599	 Fabricación de otros productos elaborados de metal n.c.p. 	 0.550	1
146	2610	 Fabricación de componentes y tableros electrónicos 	 0.550	1
147	2620	 Fabricación de computadoras y de equipo periférico 	 0.550	1
148	2630	 Fabricación de equipos de comunicación 	 0.550	1
149	2640	 Fabricación de aparatos electrónicos de consumo 	 0.550	1
150	2651	 Fabricación de equipo de medición, prueba, navegación y control 	 0.550	1
151	2652	 Fabricación de relojes 	 0.550	1
152	2660	 Fabricación de equipo de irradiación y equipo electrónico de uso médico y terapéutico 	 0.550	1
153	2670	 Fabricación de instrumentos ópticos y equipo fotográfico 	 0.550	1
154	2680	 Fabricación de medios magnéticos y ópticos para almacenamiento de datos 	 0.550	1
155	2711	 Fabricación de motores, generadores y transformadores eléctricos 	 0.550	1
156	2712	 Fabricación de aparatos de distribución y control de la energía eléctrica 	 0.550	1
157	2720	 Fabricación de pilas, baterías y acumuladores eléctricos 	 0.550	1
158	2731	 Fabricación de hilos y cables eléctricos y de fibra óptica 	 0.550	1
159	2732	 Fabricación de dispositivos de cableado 	 0.550	1
160	2740	 Fabricación de equipos eléctricos de iluminación 	 0.550	1
161	2750	 Fabricación de aparatos de uso doméstico 	 0.550	1
162	2790	 Fabricación de otros tipos de equipo eléctrico n.c.p. 	 0.550	1
163	2811	 Fabricación de motores, turbinas, y partes para motores de combustión interna 	 0.550	1
164	2812	 Fabricación de equipos de potencia hidráulica y neumática 	 0.550	1
165	2813	 Fabricación de otras bombas, compresores, grifos y válvulas 	 0.550	1
166	2814	 Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión 	 0.550	1
167	2815	 Fabricación de hornos, hogares y quemadores industriales 	 0.550	1
168	2816	 Fabricación de equipo de elevación y manipulación 	 0.550	1
169	2817	 Fabricación de maquinaria y equipo de oficina (excepto computadoras y equipo periférico) 	 0.550	1
